id,name,team
P0001,이민준,인사팀
P0002,최지우,디자인팀
P0003,이채원,기획팀
P0004,임하은,개발팀
P0005,김서연,영업팀
P0006,최채원,개발팀
P0007,장지우,마케팅팀
P0008,최시우,인사팀
P0009,김지호,마케팅팀
P0010,강예은,디자인팀
P0011,최도윤,기획팀
P0012,이하은,기획팀
P0013,강도윤,인사팀
P0014,김시우,기획팀
P0015,조서연,인사팀
P0016,임도윤,영업팀
P0017,이민준,영업팀
P0018,정서연,영업팀
P0019,이하은,인사팀
P0020,윤도윤,디자인팀
P0021,강도윤,영업팀
P0022,정서연,디자인팀
P0023,장지우,디자인팀
P0024,윤하은,인사팀
P0025,장지우,재무팀
P0026,김지우,개발팀
P0027,강하은,인사팀
P0028,이지우,재무팀
P0029,최시우,마케팅팀
P0030,윤지호,인사팀
P0031,박지우,인사팀
P0032,임하은,마케팅팀
P0033,강지우,디자인팀
P0034,장시우,기획팀
P0035,김서연,디자인팀
P0036,박하은,기획팀
P0037,조하은,고객지원팀
P0038,장예은,개발팀
P0039,이채원,인사팀
P0040,강서연,인사팀
P0041,조지호,고객지원팀
P0042,김예은,디자인팀
P0043,장서연,인사팀
P0044,장은우,영업팀
P0045,박도윤,디자인팀
P0046,장채원,개발팀
P0047,임도윤,고객지원팀
P0048,김서연,재무팀
P0049,정지우,개발팀
P0050,최은우,기획팀
P0051,이시우,기획팀
P0052,장지호,디자인팀
P0053,윤채원,디자인팀
P0054,정채원,마케팅팀
P0055,최채원,영업팀
P0056,정하은,재무팀
P0057,윤채원,고객지원팀
P0058,이지우,영업팀
P0059,이도윤,개발팀
P0060,임채원,영업팀
P0061,임지우,개발팀
P0062,이민준,영업팀
P0063,이민준,재무팀
P0064,이채원,영업팀
P0065,정시우,영업팀
P0066,장지호,고객지원팀
P0067,최시우,마케팅팀
P0068,최서연,기획팀
P0069,조도윤,마케팅팀
P0070,조시우,개발팀
P0071,이민준,마케팅팀
P0072,강서연,영업팀
P0073,최지우,고객지원팀
P0074,박하은,디자인팀
P0075,정시우,영업팀
P0076,이시우,기획팀
P0077,김채원,개발팀
P0078,이지우,디자인팀
P0079,조시우,고객지원팀
P0080,최하은,개발팀
P0081,박하은,개발팀
P0082,조예은,고객지원팀
P0083,정하은,고객지원팀
P0084,박지우,인사팀
P0085,최민준,개발팀
P0086,강민준,개발팀
P0087,임시우,디자인팀
P0088,김채원,기획팀
P0089,박서연,기획팀
P0090,최하은,기획팀
P0091,임지우,개발팀
P0092,임서연,마케팅팀
P0093,임은우,재무팀
P0094,정지우,재무팀
P0095,최예은,마케팅팀
P0096,박예은,고객지원팀
P0097,강서연,개발팀
P0098,윤은우,기획팀
P0099,이채원,영업팀
P0100,장예은,디자인팀
P0101,강서연,영업팀
P0102,강예은,디자인팀
P0103,윤채원,인사팀
P0104,임채원,개발팀
P0105,장예은,기획팀
P0106,박예은,기획팀
P0107,이채원,디자인팀
P0108,정예은,영업팀
P0109,강지우,인사팀
P0110,장시우,인사팀
P0111,김서연,마케팅팀
P0112,정민준,개발팀
P0113,강지호,인사팀
P0114,박시우,마케팅팀
P0115,장민준,기획팀
P0116,이지호,개발팀
P0117,강은우,디자인팀
P0118,조지호,개발팀
P0119,정도윤,개발팀
P0120,강지우,영업팀
P0121,이도윤,마케팅팀
P0122,임지호,영업팀
P0123,박지호,마케팅팀
P0124,김지호,재무팀
P0125,조지우,인사팀
P0126,박서연,마케팅팀
P0127,김시우,영업팀
P0128,최시우,재무팀
P0129,정지우,영업팀
P0130,김지우,마케팅팀
